nEvent , x , y , z , px , py , pz , trackID 
13 , 0 , 0 , -300 , -6.7444e-11 , -1.44048e-10 , 150 , 0
13 , -3.7268e-10 , -7.95973e-10 , 528.864 , 0.0347523 , 0.0307377 , 147.861 , 1
13 , -3.7268e-10 , -7.95973e-10 , 528.864 , 0.00135267 , 0.0463756 , 2.13892 , 2
14 , 0 , 0 , -300 , 3.29519e-12 , -1.09624e-12 , 150 , 0
14 , 1.83441e-11 , -6.10269e-12 , 535.038 , 0.0243551 , -0.02131 , 148.968 , 1
14 , 1.83441e-11 , -6.10269e-12 , 535.038 , 0.0322671 , 0.00247294 , 1.03237 , 2
15 , 0 , 0 , -300 , -1.59118e-10 , 1.39543e-10 , 150 , 0
15 , -8.80384e-10 , 7.72078e-10 , 529.937 , 0.0377839 , -0.156323 , 116.816 , 1
15 , -8.80384e-10 , 7.72078e-10 , 529.937 , 0.159918 , -0.0170567 , 33.1836 , 2
16 , 0 , 0 , -300 , -2.42738e-11 , -5.536e-11 , 150 , 0
16 , -1.34223e-10 , -3.06114e-10 , 529.428 , -0.0469042 , -0.000285724 , 147.813 , 1
16 , -1.34223e-10 , -3.06114e-10 , 529.428 , 0.031567 , -0.0346932 , 2.18695 , 2
17 , 0 , 0 , -300 , -2.4618e-11 , -2.03649e-11 , 150 , 0
17 , -1.36459e-10 , -1.12884e-10 , 531.461 , 0.0309011 , 0.0158939 , 148.808 , 1
17 , -1.36459e-10 , -1.12884e-10 , 531.461 , 0.0214038 , 0.0273746 , 1.19167 , 2
18 , 0 , 0 , -300 , 3.82171e-11 , -2.44828e-11 , 150 , 0
18 , 2.11628e-10 , -1.35574e-10 , 530.628 , 0.00857784 , 0.0591629 , 146.411 , 1
18 , 2.11628e-10 , -1.35574e-10 , 530.628 , -0.0501595 , -0.0325246 , 3.58904 , 2
18 , -0.0303177 , -0.0199037 , 532.83 , -0.00168132 , -0.00113445 , 0.12327 , 985
19 , 0 , 0 , -300 , 5.84179e-12 , -1.73349e-10 , 150 , 0
19 , 3.23243e-11 , -9.59193e-10 , 529.994 , -0.00439814 , -0.0474612 , 147.74 , 1
19 , 3.23243e-11 , -9.59193e-10 , 529.994 , 0.00758337 , -0.0470574 , 2.25953 , 2
19 , 0.00938181 , -0.0737332 , 533.41 , 0.0047984 , -0.0384564 , 1.74712 , 4
19 , 0.86204 , -6.90729 , 843.868 , 7.39629e-05 , -0.00267907 , 0.0912378 , 5
19 , 1.47626 , -15.4983 , 1145.88 , -9.29332e-05 , -0.000207112 , 0.0103343 , 7
19 , 0.86204 , -6.90729 , 843.868 , 0.00469075 , -0.035905 , 1.65588 , 8
19 , 6.63058 , -37.9833 , 2361.93 , 2.58048e-05 , -8.79353e-05 , 0.00456689 , 10
19 , 0.00869831 , -0.0681254 , 533.154 , 0.000488413 , -0.00401291 , 0.184924 , 11
20 , 0 , 0 , -300 , -5.21112e-11 , -1.57489e-11 , 150 , 0
20 , -2.89058e-10 , -8.73582e-11 , 532.042 , 0.0689769 , 0.00669386 , 145.131 , 1
20 , -2.89058e-10 , -8.73582e-11 , 532.042 , 0.0611387 , 0.0326293 , 4.8688 , 2
20 , 11474.8 , -16038.3 , -8163.09 , 0.000865761 , -0.001535 , -0.00101047 , 421
20 , 18006.9 , 19261.9 , 1515.39 , 0.0028092 , 0.0023072 , -0.000721068 , 1094
20 , 18006.9 , 19261.9 , 1515.39 , 0.00360244 , 0.00656833 , 0.00172589 , 1095
21 , 0 , 0 , -300 , 1.39075e-10 , -2.12347e-10 , 150 , 0
21 , 7.7298e-10 , -1.18023e-09 , 533.701 , -0.0380364 , 0.0266305 , 147.858 , 1
21 , 7.7298e-10 , -1.18023e-09 , 533.701 , -0.00921113 , 0.0455094 , 2.14238 , 2
22 , 0 , 0 , -300 , 8.16728e-11 , -6.34939e-11 , 150 , 0
22 , 4.54598e-10 , -3.53413e-10 , 534.913 , -0.0201179 , -0.035299 , 148.366 , 1
22 , 4.54598e-10 , -3.53413e-10 , 534.913 , 0.0292481 , 0.028201 , 1.63433 , 2
23 , 0 , 0 , -300 , -1.11645e-10 , 2.1397e-10 , 150 , 0
23 , -6.16438e-10 , 1.18141e-09 , 528.208 , -0.0283474 , -0.0303997 , 148.288 , 1
23 , -6.16438e-10 , 1.18141e-09 , 528.208 , 0.0411503 , 0.00586278 , 1.71148 , 2
24 , 0 , 0 , -300 , 1.30885e-10 , 3.82285e-11 , 150 , 0
24 , 7.28761e-10 , 2.12854e-10 , 535.189 , -0.0164342 , -0.0513392 , 147.096 , 1
24 , 7.28761e-10 , 2.12854e-10 , 535.189 , -0.0414832 , 0.0344229 , 2.90356 , 2
25 , 0 , 0 , -300 , -1.7133e-12 , -1.01741e-10 , 150 , 0
25 , -9.47651e-12 , -5.62744e-10 , 529.671 , -0.0372048 , 0.0208871 , 148.195 , 1
25 , -9.47651e-12 , -5.62744e-10 , 529.671 , 0.0378869 , 0.0196226 , 1.80458 , 2
26 , 0 , 0 , -300 , -9.54807e-11 , 1.20332e-10 , 150 , 0
26 , -5.31651e-10 , 6.70026e-10 , 535.222 , 0.000101705 , 0.0576197 , 146.672 , 1
26 , -5.31651e-10 , 6.70026e-10 , 535.222 , -0.0561347 , 0.0129974 , 3.32779 , 2
26 , -12.344 , 2.82389 , 1252.77 , -0.0491094 , 0.0105607 , 2.82393 , 3
27 , 0 , 0 , -300 , -2.31064e-11 , 1.40186e-10 , 150 , 0
27 , -1.27644e-10 , 7.74413e-10 , 528.627 , 0.0554872 , -0.00921689 , 146.833 , 1
27 , -1.27644e-10 , 7.74413e-10 , 528.627 , -0.049594 , -0.026537 , 3.16744 , 2
27 , -5.04694 , -2.64342 , 832.153 , -0.000639241 , -0.000319373 , 0.0386652 , 835
27 , -5.04329 , -2.64151 , 831.933 , -4.33795e-05 , -2.6088e-05 , 0.00281778 , 844
28 , 0 , 0 , -300 , 3.86063e-11 , 1.95338e-11 , 150 , 0
28 , 2.1301e-10 , 1.07778e-10 , 527.625 , 0.0186434 , 0.0260541 , 148.988 , 1
28 , 2.1301e-10 , 1.07778e-10 , 527.625 , 0.0320347 , -0.00041222 , 1.01162 , 2
28 , 28.738 , -1.31114 , 1467.44 , 9.45267e-05 , -2.50421e-07 , 0.00300639 , 3
28 , 28.7332 , -1.31115 , 1467.28 , 0.00158069 , -0.0002674 , 0.00226235 , 4
29 , 0 , 0 , -300 , -1.59656e-10 , 1.24032e-10 , 150 , 0
29 , -8.8246e-10 , 6.85559e-10 , 529.09 , 0.0433871 , -0.0361881 , 146.804 , 1
29 , -8.8246e-10 , 6.85559e-10 , 529.09 , 0.0457919 , -0.0330926 , 3.19639 , 2
30 , 0 , 0 , -300 , 1.47372e-12 , -3.37867e-12 , 150 , 0
30 , 8.14567e-12 , -1.86748e-11 , 529.091 , -0.0298141 , -0.0228631 , 148.605 , 1
30 , 8.14567e-12 , -1.86748e-11 , 529.091 , 0.0370397 , 0.00629754 , 1.39514 , 2
31 , 0 , 0 , -300 , 4.76672e-11 , -1.84805e-10 , 150 , 0
31 , 2.64925e-10 , -1.02711e-09 , 533.67 , 0.00852805 , 0.0394675 , 148.386 , 1
31 , 2.64925e-10 , -1.02711e-09 , 533.67 , -0.026554 , 0.0304187 , 1.61396 , 2
31 , -0.0046306 , 0.00522056 , 533.949 , -7.74718e-05 , 9.00297e-05 , 0.00479347 , 4
32 , 0 , 0 , -300 , -1.5277e-10 , 1.88335e-10 , 150 , 0
32 , -8.48086e-10 , 1.04552e-09 , 532.709 , 0.0790888 , -0.0293152 , 142.653 , 1
32 , -8.48086e-10 , 1.04552e-09 , 532.709 , 0.0123699 , -0.0834351 , 7.34742 , 2
32 , 3108.31 , -3518.87 , 494.85 , 0.00149495 , -0.00135141 , -0.000462065 , 183
33 , 0 , 0 , -300 , 1.3286e-10 , -1.82773e-10 , 150 , 0
33 , 7.37362e-10 , -1.01437e-09 , 532.486 , 0.0461117 , 0.00557245 , 147.856 , 1
33 , 7.37362e-10 , -1.01437e-09 , 532.486 , -0.0195286 , -0.0421423 , 2.14378 , 2
34 , 0 , 0 , -300 , 2.30129e-11 , 9.71203e-12 , 150 , 0
34 , 1.27409e-10 , 5.37701e-11 , 530.467 , 0.0434252 , -0.0338078 , 146.971 , 1
34 , 1.27409e-10 , 5.37701e-11 , 530.467 , 0.00607359 , 0.0546976 , 3.02916 , 2
34 , -660.702 , -1659.61 , -1207.78 , -0.000357502 , -0.00188141 , -0.00401741 , 303
34 , 4071.83 , 568.133 , 2478.19 , 0.00212976 , 0.000314422 , -0.000377424 , 322
34 , 19257 , -2122.78 , 1669.39 , 0.00323497 , 4.6129e-05 , 0.000117753 , 591
35 , 0 , 0 , -300 , -4.29107e-11 , -7.35273e-11 , 150 , 0
35 , -2.38394e-10 , -4.08487e-10 , 533.337 , -0.0401984 , -0.00724106 , 148.348 , 1
35 , -2.38394e-10 , -4.08487e-10 , 533.337 , 0.0134682 , -0.038561 , 1.65196 , 2
35 , 2.67245 , -7.41632 , 843.518 , 0.00299932 , -0.0086333 , 0.362354 , 4
36 , 0 , 0 , -300 , 5.46055e-11 , -4.68082e-11 , 150 , 0
36 , 3.02875e-10 , -2.59627e-10 , 531.99 , 0.0453671 , 0.00122198 , 147.955 , 1
36 , 3.02875e-10 , -2.59627e-10 , 531.99 , 0.00572756 , -0.0450207 , 2.04526 , 2
36 , -16399 , 3831.85 , -8067.23 , -0.00157935 , 0.000548216 , -3.07586e-06 , 275
36 , 9.27674 , -23.2149 , 1972.99 , 2.8729e-05 , -3.36177e-05 , 0.00327379 , 479
36 , 2.47697 , -15.6387 , 1265.84 , 0.00319082 , -0.0040646 , 0.317623 , 481
36 , -500.328 , 1269 , 2257.72 , -0.000744167 , 0.0023114 , -0.00074605 , 509
37 , 0 , 0 , -300 , 3.08164e-11 , -5.53567e-12 , 150 , 0
37 , 1.71176e-10 , -3.0749e-11 , 533.206 , -0.00836998 , -0.0334055 , 148.83 , 1
37 , 1.71176e-10 , -3.0749e-11 , 533.206 , 0.00377966 , 0.0342301 , 1.17026 , 2
37 , 0.00529927 , 0.0547968 , 535.092 , -0.00138946 , 0.000353786 , 0.00198543 , 4
38 , 0 , 0 , -300 , -1.75116e-10 , -7.09641e-11 , 150 , 0
38 , -9.6826e-10 , -3.92378e-10 , 529.388 , 0.0122567 , -0.0339047 , 148.716 , 1
38 , -9.6826e-10 , -3.92378e-10 , 529.388 , -0.0148041 , 0.0328724 , 1.28357 , 2
38 , 0.0944236 , -0.217318 , 1467.53 , -0.000377013 , 0.00108468 , 0.00129131 , 286
39 , 0 , 0 , -300 , 1.25126e-10 , 3.24905e-11 , 150 , 0
39 , 6.93766e-10 , 1.80145e-10 , 531.682 , 0.0284383 , 0.0244102 , 148.612 , 1
39 , 6.93766e-10 , 1.80145e-10 , 531.682 , 0.0367217 , -0.00749057 , 1.38815 , 2
39 , 403.496 , 17406.4 , -4117.43 , 0.000134785 , 0.00159861 , -0.00100615 , 26
40 , 0 , 0 , -300 , 2.86617e-11 , 4.61697e-12 , 150 , 0
40 , 1.58788e-10 , 2.55785e-11 , 531.015 , -0.038784 , 0.0776801 , 142.187 , 1
40 , 1.58788e-10 , 2.55785e-11 , 531.015 , -0.0124289 , -0.0859298 , 7.81273 , 2
40 , 11300.4 , -15012.1 , -16219.4 , 0.001114 , -0.000225314 , -0.00137836 , 1730
41 , 0 , 0 , -300 , 6.52563e-12 , -5.01183e-12 , 150 , 0
41 , 3.62212e-11 , -2.78187e-11 , 532.591 , 0.0394526 , 0.0221458 , 147.968 , 1
41 , 3.62212e-11 , -2.78187e-11 , 532.591 , -0.0112186 , -0.0438302 , 2.03243 , 2
42 , 0 , 0 , -300 , -1.47251e-10 , -7.93735e-12 , 150 , 0
42 , -8.17799e-10 , -4.40821e-11 , 533.064 , 0.0227001 , -0.0244059 , 148.904 , 1
42 , -8.17799e-10 , -4.40821e-11 , 533.064 , 0.0199451 , 0.0267046 , 1.09562 , 2
42 , 13.1729 , 17.483 , 1252.62 , 0.00179068 , 0.00184254 , 0.0828654 , 3
42 , 0.00694176 , 0.00947792 , 533.448 , 7.68022e-05 , 9.45423e-05 , 0.00397643 , 4
43 , 0 , 0 , -300 , -5.17152e-11 , -3.9812e-11 , 150 , 0
43 , -2.86427e-10 , -2.20501e-10 , 530.783 , -0.0248292 , 0.0346915 , 148.196 , 1
43 , -2.86427e-10 , -2.20501e-10 , 530.783 , 0.0271869 , -0.0328765 , 1.80411 , 2
44 , 0 , 0 , -300 , 7.06096e-12 , 5.26903e-11 , 150 , 0
44 , 3.9308e-11 , 2.93324e-10 , 535.043 , 0.0678343 , 0.072175 , 139.631 , 1
44 , 3.9308e-11 , 2.93324e-10 , 535.043 , -0.046438 , 0.0874885 , 10.3685 , 2
44 , -14628.5 , -5511.45 , -3469.88 , -0.00165664 , -0.000631251 , -0.000631658 , 2977
44 , 0.451939 , 0.491053 , 1479.6 , 0.00093077 , 0.00273372 , 0.00812905 , 3069
45 , 0 , 0 , -300 , -2.5792e-11 , -7.13374e-11 , 150 , 0
45 , -1.42508e-10 , -3.94158e-10 , 528.79 , -0.00320134 , 0.0336695 , 148.872 , 1
45 , -1.42508e-10 , -3.94158e-10 , 528.79 , 0.023993 , 0.0238375 , 1.12837 , 2
46 , 0 , 0 , -300 , 5.8373e-11 , -1.52677e-10 , 150 , 0
46 , 3.22945e-10 , -8.44676e-10 , 529.865 , 0.0116006 , 0.0378148 , 148.452 , 1
46 , 3.22945e-10 , -8.44676e-10 , 529.865 , -0.0338694 , 0.0204303 , 1.548 , 2
47 , 0 , 0 , -300 , -2.19692e-10 , 6.15358e-11 , 150 , 0
47 , -1.22139e-09 , 3.4211e-10 , 533.929 , 0.00806272 , -0.0639376 , 145.811 , 1
47 , -1.22139e-09 , 3.4211e-10 , 533.929 , 0.0401018 , 0.0504468 , 4.18917 , 2
47 , 13999.1 , -328.263 , -563.215 , 0.00236023 , 0.000386787 , -0.000623106 , 825
47 , -4784.77 , -19262.4 , -4199.22 , -0.00111268 , -0.00216825 , -0.000181539 , 1110
47 , 0.00808117 , 0.0100977 , 534.768 , 0.000912658 , 0.00116562 , 0.0963255 , 1176
48 , 0 , 0 , -300 , 8.5125e-11 , -6.81462e-11 , 150 , 0
48 , 4.73616e-10 , -3.7915e-10 , 534.566 , 0.0388194 , 0.0177377 , 148.194 , 1
