nEvent , x0 , y0 , Ax , Ay , err_x0 , err_y0 , err_Ax , err_Ay , chi2 
21 , 0.932582 , -11.5403 , -0.00249139 , 0.0214304 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 17.842
22 , 0.0652749 , 0.115672 , -0.000126002 , -0.000220655 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00115434
22 , -9.32588 , -8.93628 , 0.0176115 , 0.0169525 , 0.0890797 , 0.0747185 , 7.64409e-05 , 6.10824e-05 , 7.36305
23 , 0.091782 , 0.124819 , -0.000180464 , -0.000226384 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00433736
23 , -13.8934 , -2.73788 , 0.0257314 , 0.00478866 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 34.9697
24 , 0.0746905 , 0.185105 , -0.00012336 , -0.000347776 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0394031
24 , 8.44675 , -6.9388 , -0.0151987 , 0.0124638 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 45.0609
25 , 0.129752 , -0.0637093 , -0.000243251 , 0.00012615 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00246741
25 , -10.9138 , -4.98392 , 0.0209021 , 0.0102002 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 30.0769
26 , 0.000777286 , -0.207687 , -2.47658e-06 , 0.000390388 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00311151
26 , 9.57293 , -2.81624 , -0.0175425 , 0.00468326 , 0.0909706 , 0.0747275 , 7.76633e-05 , 6.1096e-05 , 60.48
27 , -0.209498 , 0.0375551 , 0.000392748 , -6.1717e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0235421
27 , 8.36291 , 4.35414 , -0.0161711 , -0.00849661 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 29.3538
29 , -7.25684 , 6.03432 , 0.0134977 , -0.0113936 , 0.0495517 , 0.0513984 , 3.61297e-05 , 3.62637e-05 , 17.9498
29 , -0.143854 , 0.140923 , 0.000284222 , -0.000262392 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00905895
30 , 0.122732 , 0.0985406 , -0.000227022 , -0.000177299 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0153432
30 , -14.426 , -1.45932 , 0.0261454 , 0.00367606 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 34.0418
31 , -0.0462059 , -0.126396 , 7.4251e-05 , 0.000245447 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0183761
31 , 7.67695 , -10.8134 , -0.0147635 , 0.0196171 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 21.0103
32 , -0.698845 , 5.83937 , 0.00155526 , -0.0111071 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 5.13669
32 , -0.280396 , 0.116853 , 0.000536472 , -0.000215662 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00555586
33 , -0.141901 , -0.0284987 , 0.000281105 , 4.52603e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0196046
33 , 3.93749 , 8.81485 , -0.00756731 , -0.0189223 , 0.0496417 , 0.0742692 , 3.63462e-05 , 4.8813e-05 , 10.6574
34 , -0.153478 , 0.118861 , 0.000290977 , -0.000223398 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00865746
34 , -1.346 , -9.0395 , 0.00253965 , 0.0174019 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 13.7613
35 , 0.151291 , 0.0526406 , -0.000277732 , -8.0071e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0250559
35 , -5.04152 , 13.1765 , 0.00917488 , -0.0243368 , 0.0876923 , 0.049769 , 7.50099e-05 , 3.53468e-05 , 17.9712
37 , -4.84876 , -13.6037 , 0.00690371 , 0.0269943 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 33.2955
37 , 0.0165355 , 0.112252 , -4.36049e-05 , -0.000212797 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00720451
38 , -0.071236 , 0.119895 , 0.000110024 , -0.000227526 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.81072
38 , 6.12461 , -13.7527 , -0.0110363 , 0.0251652 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 37.4343
39 , -0.105687 , -0.0746451 , 0.000197857 , 0.000149182 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00628542
39 , -12.8198 , 2.96473 , 0.0252323 , -0.00523747 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 50.1913
40 , 0.921364 , 5.83518 , -0.00164487 , -0.0109357 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 5.56534
40 , 0.131569 , -0.306979 , -0.000258651 , 0.000571082 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0130138
41 , -0.142372 , -0.101567 , 0.000267793 , 0.000182094 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00176944
41 , 0.888423 , 11.802 , -0.00333586 , -0.0220593 , 0.0691543 , 0.0737101 , 4.71686e-05 , 5.99397e-05 , 5.83352
42 , -0.0573699 , 0.0922031 , 0.000123217 , -0.000172099 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00331926
42 , -13.4671 , -9.67916 , 0.0212873 , 0.0216609 , 0.069338 , 0.0744777 , 4.7222e-05 , 4.89175e-05 , 41.5774
43 , 0.0924522 , -0.129678 , -0.00016361 , 0.00023955 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0108347
43 , -10.1482 , 9.01349 , 0.0172107 , -0.0174847 , 0.0691543 , 0.0737101 , 4.71686e-05 , 5.99396e-05 , 18.4426
44 , 2.77646 , -4.52825 , -0.0048912 , 0.00843659 , 0.0494776 , 0.0499328 , 3.61414e-05 , 3.49462e-05 , 3.93486
44 , -0.238806 , -0.273245 , 0.000464035 , 0.00051934 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 1.34075
45 , 0.0280762 , -0.121678 , -4.37516e-05 , 0.000229275 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0114087
45 , -11.3213 , -11.3571 , 0.0208907 , 0.0214676 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 32.8455
